[INFO] [1784656198.777619, 0.032000]: FL_HAA: 0.03366551920771599
[INFO] [1784656198.783961, 0.039000]: FL_HFE: 0.43777909893989564
[INFO] [1784656198.795484, 0.047000]: FL_KFE: -1.347691006398201
[INFO] [1784656198.804314, 0.054000]: FR_HAA: 0.015911977738142014
[INFO] [1784656198.825446, 0.061000]: FR_HFE: 0.4696184473156929
[INFO] [1784656198.839846, 0.077000]: FR_KFE: -1.3839178750276566
[INFO] [1784656198.853037, 0.081000]: HL_HAA: -0.019554316997528076
[INFO] [1784656198.863481, 0.089000]: HL_HFE: -0.7464351796865464
[INFO] [1784656198.873627, 0.097000]: HL_KFE: 1.807521075963974
[INFO] [1784656198.883265, 0.101000]: HL_AFE: -1.8581022310495376
[INFO] [1784656198.898944, 0.109000]: HR_HAA: 0.05054184049367905
[INFO] [1784656198.906352, 0.114000]: HR_HFE: -0.743308178460598
[INFO] [1784656198.927101, 0.128000]: HR_KFE: 1.8202148387432098
[INFO] [1784656198.937913, 0.135000]: HR_AFE: -1.8893491167068481
[INFO] [1784656198.951102, 0.142000]: FL_HAA: 0.16399863362312317
[INFO] [1784656198.963450, 0.153000]: FL_HFE: 0.4877177925825119
[INFO] [1784656198.972831, 0.158000]: FL_KFE: -1.450191698408127
[INFO] [1784656198.980068, 0.158000]: FR_HAA: 0.07831065356731415
[INFO] [1784656198.986361, 0.158000]: FR_HFE: 0.5723030867099762
[INFO] [1784656198.992111, 0.158000]: FR_KFE: -1.6360878268241883
[INFO] [1784656198.998253, 0.158000]: HL_HAA: -0.041670773178339005
[INFO] [1784656199.003134, 0.158000]: HL_HFE: -0.8455509090185166
[INFO] [1784656199.008026, 0.158000]: HL_KFE: 2.0685785422325136
[INFO] [1784656199.012880, 0.158000]: HL_AFE: -2.1118210095405576
[INFO] [1784656199.018150, 0.158000]: HR_HAA: 0.19091397523880005
[INFO] [1784656199.027111, 0.158000]: HR_HFE: -0.8735808276891709
[INFO] [1784656199.033691, 0.158000]: HR_KFE: 2.12821221446991
[INFO] [1784656199.041859, 0.158000]: HR_AFE: -2.2608108061790464
[INFO] [1784656199.047712, 0.158000]: FL_HAA: 0.1875663697719574
[INFO] [1784656199.053394, 0.158000]: FL_HFE: 0.496405393075943
[INFO] [1784656199.060666, 0.158000]: FL_KFE: -1.4691568979978562
[INFO] [1784656199.064565, 0.158000]: FR_HAA: 0.0886056199669838
[INFO] [1784656199.072516, 0.158000]: FR_HFE: 0.5943544359922409
[INFO] [1784656199.078111, 0.158000]: FR_KFE: -1.6775569835662842
[INFO] [1784656199.086071, 0.158000]: HL_HAA: -0.043587904423475266
[INFO] [1784656199.092732, 0.158000]: HL_HFE: -0.8649819636106492
[INFO] [1784656199.099917, 0.158000]: HL_KFE: 2.1172345588207246
[INFO] [1784656199.106337, 0.158000]: HL_AFE: -2.158134951019287
[INFO] [1784656199.113265, 0.158000]: HR_HAA: 0.2125120609998703
[INFO] [1784656199.120070, 0.158000]: HR_HFE: -0.8982873254776002
[INFO] [1784656199.124995, 0.158000]: HR_KFE: 2.1797318468093874
[INFO] [1784656199.132797, 0.158000]: HR_AFE: -2.3230819839477537
[INFO] [1784656199.509160, 0.165000]: FL_HAA: 0.2116633951663971
[INFO] [1784656199.514702, 0.171000]: FL_HFE: 0.5063228609085083
[INFO] [1784656199.517189, 0.174000]: FL_KFE: -1.4889069715499879
[INFO] [1784656199.524346, 0.177000]: FR_HAA: 0.09749317914247513
[INFO] [1784656199.531071, 0.185000]: FR_HFE: 0.6167980136394501
[INFO] [1784656199.533557, 0.188000]: FR_KFE: -1.7160507658481599
[INFO] [1784656199.540601, 0.191000]: HL_HAA: -0.04627036675810814
[INFO] [1784656199.548636, 0.198000]: HL_HFE: -0.8832310878992081
[INFO] [1784656199.558351, 0.205000]: HL_KFE: 2.163529218196869
[INFO] [1784656199.564933, 0.210000]: HL_AFE: -2.2044838208198545
[INFO] [1784656199.569127, 0.212000]: HR_HAA: 0.23062527179718018
[INFO] [1784656199.575112, 0.216000]: HR_HFE: -0.9175163650274277
[INFO] [1784656199.583514, 0.224000]: HR_KFE: 2.227368236541748
[INFO] [1784656199.587097, 0.229000]: HR_AFE: -2.382210089588165
[INFO] [1784656199.595987, 0.233000]: FL_HAA: 0.17907516658306122
[INFO] [1784656199.608933, 0.241000]: FL_HFE: 0.5645747335672379
[INFO] [1784656199.616284, 0.252000]: FL_KFE: -1.5966308334827424
[INFO] [1784656199.619336, 0.253000]: FR_HAA: 0.15345534682273865
[INFO] [1784656199.626738, 0.253000]: FR_HFE: 0.6763854922771454
[INFO] [1784656199.631607, 0.253000]: FR_KFE: -1.8145487824440003
[INFO] [1784656199.637537, 0.253000]: HL_HAA: -0.03310003876686096
[INFO] [1784656199.642896, 0.253000]: HL_HFE: -0.9227926128864289
[INFO] [1784656199.646402, 0.253000]: HL_KFE: 2.294313729763031
[INFO] [1784656199.653499, 0.253000]: HL_AFE: -2.353420390510559
[INFO] [1784656199.661628, 0.253000]: HR_HAA: 0.28512024879455566
[INFO] [1784656199.666229, 0.253000]: HR_HFE: -0.9672587209701539
[INFO] [1784656199.675193, 0.253000]: HR_KFE: 2.3652468929290773
[INFO] [1784656199.681168, 0.253000]: HR_AFE: -2.5748212474822996
[INFO] [1784656199.689967, 0.253000]: FL_HAA: 0.17332038283348083
[INFO] [1784656199.696072, 0.253000]: FL_HFE: 0.5831288399219513
[INFO] [1784656199.704523, 0.253000]: FL_KFE: -1.6270830253124238
[INFO] [1784656199.710220, 0.253000]: FR_HAA: 0.1699189394712448
[INFO] [1784656199.717352, 0.253000]: FR_HFE: 0.6989801229953766
[INFO] [1784656199.724512, 0.253000]: FR_KFE: -1.8455343762397767
[INFO] [1784656199.727902, 0.253000]: HL_HAA: -0.034928321838378906
[INFO] [1784656199.736403, 0.253000]: HL_HFE: -0.9331037395954133
[INFO] [1784656199.742545, 0.253000]: HL_KFE: 2.339839042186737
[INFO] [1784656199.748481, 0.253000]: HL_AFE: -2.4009151596069334
[INFO] [1784656199.755538, 0.253000]: HR_HAA: 0.30377131700515747
[INFO] [1784656199.759366, 0.253000]: HR_HFE: -0.9750793570041657
[INFO] [1784656199.770173, 0.253000]: HR_KFE: 2.4104149351119997
[INFO] [1784656199.775774, 0.253000]: HR_AFE: -2.6275077003479
[INFO] [1784656200.154825, 0.263000]: FL_HAA: 0.1747407764196396
[INFO] [1784656200.157954, 0.266000]: FL_HFE: 0.6011215897321701
[INFO] [1784656200.165646, 0.271000]: FL_KFE: -1.654385052061081
[INFO] [1784656200.171767, 0.276000]: FR_HAA: 0.18278451263904572
[INFO] [1784656200.174569, 0.279000]: FR_HFE: 0.7238624395847321
[INFO] [1784656200.186241, 0.284000]: FR_KFE: -1.8753229895591736
[INFO] [1784656200.192707, 0.286000]: HL_HAA: -0.03989427909255028
[INFO] [1784656200.195679, 0.290000]: HL_HFE: -0.9430786365032197
[INFO] [1784656200.207531, 0.298000]: HL_KFE: 2.382655204296112
